Timestamp,Pump_Status,Voltage_kV,Current_A,Bearing_Temp_F,Vibration_mm_s,Tank_Level_fraction,Alarm
2026-08-15 08:00:00,RUNNING,0.44,18.2,149.0,2.1,0.72,NORMAL
2026-08-15 08:30:00,RUNNING,0.44,18.5,152.6,2.4,0.68,NORMAL
2026-08-15 09:00:00,RUNNING,0.439,18.7,161.6,5.2,0.67,NORMAL
2026-08-15 09:15:00,RUNNING,0.44,18.8,165.2,8.2,0.66,TRIP_VIBRACAO
2026-08-15 09:25:00,STOPPED,0.44,0.0,165.2,8.2,0.66,BOMBA_PARADA
2026-08-15 14:00:00,RUNNING,0.44,18.1,147.2,2.0,0.62,NORMAL
2026-08-15 14:30:00,RUNNING,0.43,18.0,149.0,2.2,0.61,NORMAL
2026-08-15 15:00:00,RUNNING,0.39,17.8,149.0,2.3,0.6,NORMAL
2026-08-15 15:15:00,RUNNING,0.365,17.4,150.8,2.4,0.6,TRIP_SUBTENSAO
2026-08-15 15:25:00,STOPPED,0.365,0.0,150.8,0.0,0.6,BOMBA_PARADA
2026-08-15 20:00:00,RUNNING,0.44,18.4,147.2,2.1,0.25,NORMAL
2026-08-15 20:30:00,RUNNING,0.44,18.2,147.2,2.2,0.18,NORMAL
2026-08-15 21:00:00,RUNNING,0.44,18.0,145.4,2.3,0.12,TRIP_NIVEL_BAIXO
2026-08-15 21:25:00,STOPPED,0.44,0.0,145.4,0.0,0.12,BOMBA_PARADA
