Timestamp,Pump_Status,Voltage,Current,Bearing_Temp,Vibration,Tank_Level,Alarm
2026-08-14 00:00:00,1,440,18.2,65,2.1,70,NORMAL
2026-08-14 00:30:00,1,440,18.5,67,2.4,68,NORMAL
2026-08-14 01:00:00,1,439,18.7,72,5.2,67,NORMAL
2026-08-14 01:15:00,1,440,18.8,74,8.2,66,TRIP_VIBRACAO
2026-08-14 01:25:00,0,440,0.0,74,8.2,66,BOMBA_PARADA
2026-08-14 06:00:00,1,440,18.1,64,2.0,62,NORMAL
2026-08-14 06:30:00,1,430,18.0,65,2.2,61,NORMAL
2026-08-14 07:00:00,1,390,17.8,65,2.3,60,NORMAL
2026-08-14 07:15:00,1,365,17.4,66,2.4,60,TRIP_SUBTENSAO
2026-08-14 07:25:00,0,365,0.0,66,0.0,60,BOMBA_PARADA
2026-08-14 18:00:00,1,440,18.4,64,2.1,25,NORMAL
2026-08-14 18:30:00,1,440,18.2,64,2.2,18,NORMAL
2026-08-14 19:00:00,1,440,18.0,63,2.3,12,TRIP_NIVEL_BAIXO
2026-08-14 19:25:00,0,440,0.0,63,0.0,12,BOMBA_PARADA
