data_hora,status_bomba,tensao_v,corrente_a,temp_mancal_c,vibracao_mm_s,nivel_pct,alarme
2026-08-13 08:00:00,1,440,48.2,55.0,2.1,78,NORMAL
2026-08-13 08:05:00,1,439,48.5,56.0,2.2,77,NORMAL
2026-08-13 08:10:00,1,441,48.7,57.0,2.2,76,NORMAL
2026-08-13 08:15:00,1,440,49.0,59.0,2.3,75,NORMAL
2026-08-13 08:20:00,1,439,49.3,62.0,2.4,74,NORMAL
2026-08-13 08:25:00,1,440,49.5,66.0,2.5,73,NORMAL
2026-08-13 08:30:00,1,440,49.8,71.0,2.7,72,NORMAL
2026-08-13 08:35:00,1,439,50.1,76.0,2.9,71,ALERTA_TEMP
2026-08-13 08:40:00,1,440,50.4,82.0,3.2,70,ALTA_TEMP_MANCAL
2026-08-13 08:45:00,1,439,50.8,88.0,3.5,69,ALTA_TEMP_MANCAL
2026-08-13 08:50:00,1,440,51.0,94.0,3.8,68,TRIP_TEMP_MANCAL
2026-08-13 08:55:00,0,440,0.0,95.0,0.4,68,BOMBA_PARADA
2026-08-13 09:00:00,0,441,0.0,91.0,0.3,69,BOMBA_PARADA
2026-08-13 09:05:00,0,440,0.0,86.0,0.3,70,BOMBA_PARADA
2026-08-13 09:10:00,0,439,0.0,80.0,0.2,71,BOMBA_PARADA
