data_hora,status_bomba,tensao_v,corrente_a,temp_mancal_c,vibracao_mm_s,nivel_pct,alarme
2026-08-13 00:00:00,1,440,47.8,54,2.1,82,NORMAL
2026-08-13 00:30:00,1,439,48.0,55,2.1,81,NORMAL
2026-08-13 01:00:00,1,441,48.3,56,2.2,80,NORMAL
2026-08-13 01:30:00,1,440,48.5,57,2.2,79,NORMAL
2026-08-13 02:00:00,1,439,48.7,59,2.3,78,NORMAL
2026-08-13 02:30:00,1,440,49.0,63,2.4,77,NORMAL
2026-08-13 03:00:00,1,440,49.4,70,2.6,76,NORMAL
2026-08-13 03:30:00,1,439,49.8,78,2.8,75,ALERTA_TEMP
2026-08-13 04:00:00,1,440,50.3,87,3.1,74,ALTA_TEMP_MANCAL
2026-08-13 04:30:00,1,440,50.9,94,3.4,73,TRIP_TEMP_MANCAL
2026-08-13 05:00:00,0,440,0,95,0.4,73,BOMBA_PARADA
2026-08-13 05:30:00,0,440,0,90,0.3,74,BOMBA_PARADA
2026-08-13 06:00:00,1,441,47.5,74,2.2,76,PARTIDA
2026-08-13 06:30:00,1,440,47.8,68,2.1,75,NORMAL
2026-08-13 07:00:00,1,439,48.0,64,2.2,74,NORMAL
2026-08-13 07:30:00,1,440,48.1,62,2.2,73,NORMAL
2026-08-13 08:00:00,1,440,48.4,61,2.3,72,NORMAL
2026-08-13 08:30:00,1,433,48.7,61,2.4,71,NORMAL
2026-08-13 09:00:00,1,421,49.0,62,2.4,70,ALERTA_TENSAO
2026-08-13 09:30:00,1,402,49.5,62,2.5,69,ALERTA_TENSAO
2026-08-13 10:00:00,1,382,50.0,63,2.5,68,SUBTENSAO
2026-08-13 10:30:00,1,365,50.6,64,2.6,68,TRIP_SUBTENSAO
2026-08-13 11:00:00,0,0,0,63,0.2,68,BOMBA_PARADA
2026-08-13 11:30:00,0,0,0,61,0.2,69,BOMBA_PARADA
2026-08-13 12:00:00,1,440,47.6,60,2.3,72,PARTIDA
2026-08-13 12:30:00,1,440,47.9,60,2.6,71,NORMAL
2026-08-13 13:00:00,1,439,48.2,61,3.1,70,NORMAL
2026-08-13 13:30:00,1,440,48.6,62,3.8,69,ALERTA_VIBRACAO
2026-08-13 14:00:00,1,440,49.0,63,5.1,68,ALTA_VIBRACAO
2026-08-13 14:30:00,1,439,49.4,64,6.6,67,ALTA_VIBRACAO
2026-08-13 15:00:00,1,440,49.8,65,7.8,66,TRIP_VIBRACAO
2026-08-13 15:30:00,0,440,0,65,0.5,66,BOMBA_PARADA
2026-08-13 16:00:00,0,440,0,64,0.3,67,BOMBA_PARADA
2026-08-13 16:30:00,1,440,47.4,62,2.4,65,PARTIDA
2026-08-13 17:00:00,1,439,47.8,62,2.3,56,NORMAL
2026-08-13 17:30:00,1,440,48.1,62,2.3,45,NORMAL
2026-08-13 18:00:00,1,440,48.4,63,2.4,34,NORMAL
2026-08-13 18:30:00,1,439,48.7,63,2.4,25,ALERTA_NIVEL
2026-08-13 19:00:00,1,440,49.0,64,2.5,18,NIVEL_BAIXO
2026-08-13 19:30:00,1,440,49.2,64,2.5,12,TRIP_NIVEL_BAIXO
2026-08-13 20:00:00,0,440,0,63,0.4,11,BOMBA_PARADA
2026-08-13 20:30:00,0,440,0,62,0.3,15,BOMBA_PARADA
2026-08-13 21:00:00,1,440,47.5,61,2.3,42,PARTIDA
2026-08-13 21:30:00,1,440,47.8,61,2.3,44,NORMAL
2026-08-13 22:00:00,1,439,48.0,62,2.4,46,NORMAL
2026-08-13 22:30:00,1,440,48.2,62,2.4,48,NORMAL
2026-08-13 23:00:00,1,440,48.4,62,2.5,50,NORMAL
2026-08-13 23:30:00,1,439,48.5,63,2.5,52,NORMAL
